Date,NKY,SPX,USDJPY,VIX,available_count,missing_count,weekday
2023-01-04,25716.86,3852.97,132.62,22.01,4,0,Wednesday
2023-01-05,25820.8,3808.1,133.4,22.46,4,0,Thursday
2023-01-06,25973.85,3895.08,132.07,21.13,4,0,Friday
2023-01-09,,3892.09,131.88,21.97,3,1,Monday
2023-01-10,26175.56,3919.25,132.25,20.58,4,0,Tuesday
2023-01-11,26446.0,3969.61,132.47,21.09,4,0,Wednesday
2023-01-12,26449.82,3983.17,129.22,18.83,4,0,Thursday
2023-01-13,26119.52,3999.09,127.88,18.35,4,0,Friday
2023-01-16,25822.32,,128.54,19.49,3,1,Monday
2023-01-17,26138.68,3990.97,128.13,19.36,4,0,Tuesday
2023-01-18,26791.12,3928.86,128.88,20.34,4,0,Wednesday
2023-01-19,26405.23,3898.85,128.42,20.52,4,0,Thursday
2023-01-20,26553.53,3972.61,129.57,19.85,4,0,Friday
2023-01-23,26906.04,4019.81,130.66,19.81,4,0,Monday
2023-01-24,27299.19,4016.95,130.15,19.2,4,0,Tuesday
2023-01-25,27395.01,4016.22,129.59,19.08,4,0,Wednesday
2023-01-26,27362.75,4060.43,130.21,18.73,4,0,Thursday
2023-01-27,27382.56,4070.56,129.85,18.51,4,0,Friday
2023-01-30,27433.4,4017.77,130.44,19.94,4,0,Monday
2023-01-31,27327.11,4076.6,130.09,19.4,4,0,Tuesday
2023-02-01,27346.88,4119.21,128.93,17.87,4,0,Wednesday
2023-02-02,27402.05,4179.76,128.65,18.73,4,0,Thursday
2023-02-03,27509.46,4136.48,131.17,18.33,4,0,Friday
2023-02-06,27693.65,4111.08,132.65,19.43,4,0,Monday
2023-02-07,27685.47,4164.0,131.05,18.66,4,0,Tuesday
2023-02-08,27606.46,4117.86,131.37,19.63,4,0,Wednesday
2023-02-09,27584.35,4081.5,131.56,20.71,4,0,Thursday
2023-02-10,27670.98,4090.46,131.41,20.53,4,0,Friday
2023-02-13,27427.32,4137.29,132.4,20.34,4,0,Monday
2023-02-14,27602.77,4136.13,133.11,18.91,4,0,Tuesday
2023-02-15,27501.86,4147.6,134.11,18.23,4,0,Wednesday
2023-02-16,27696.44,4090.41,133.94,20.17,4,0,Thursday
2023-02-17,27513.13,4079.09,134.15,20.02,4,0,Friday
2023-02-20,27531.94,,134.23,21.23,3,1,Monday
2023-02-21,27473.1,3997.34,134.99,22.87,4,0,Tuesday
2023-02-22,27104.32,3991.05,134.9,22.29,4,0,Wednesday
2023-02-23,,4012.32,134.7,21.14,3,1,Thursday
2023-02-24,27453.48,3970.04,136.46,21.67,4,0,Friday
2023-02-27,27423.96,3982.24,136.2,20.95,4,0,Monday
2023-02-28,27445.56,3970.15,136.2,20.7,4,0,Tuesday
2023-03-01,27516.53,3951.39,136.16,20.58,4,0,Wednesday
2023-03-02,27498.87,3981.35,136.76,19.59,4,0,Thursday
2023-03-03,27927.47,4045.64,135.86,18.49,4,0,Friday
2023-03-06,28237.78,4048.42,135.91,18.61,4,0,Monday
2023-03-07,28309.16,3986.37,137.14,19.59,4,0,Tuesday
2023-03-08,28444.19,3992.01,137.34,19.11,4,0,Wednesday
2023-03-09,28623.15,3918.32,136.14,22.61,4,0,Thursday
2023-03-10,28143.97,3861.59,134.98,24.8,4,0,Friday
2023-03-13,27832.96,3855.76,133.18,26.52,4,0,Monday
2023-03-14,27222.04,3919.29,134.22,23.73,4,0,Tuesday
2023-03-15,27229.48,3891.93,133.4,26.14,4,0,Wednesday
2023-03-16,27010.61,3960.28,133.72,22.99,4,0,Thursday
2023-03-17,27333.79,3916.64,131.79,25.51,4,0,Friday
2023-03-20,26945.67,3951.57,131.31,24.15,4,0,Monday
2023-03-21,,4002.87,132.49,21.38,3,1,Tuesday
2023-03-22,27466.61,3936.97,131.44,22.26,4,0,Wednesday
2023-03-23,27419.61,3948.72,130.81,22.61,4,0,Thursday
2023-03-24,27385.25,3970.99,130.69,21.74,4,0,Friday
2023-03-27,27476.87,3977.53,131.56,20.6,4,0,Monday
2023-03-28,27518.25,3971.27,130.86,19.97,4,0,Tuesday
2023-03-29,27883.78,4027.81,132.84,19.12,4,0,Wednesday
2023-03-30,27782.93,4050.83,132.65,19.02,4,0,Thursday
2023-03-31,28041.48,4109.31,132.79,18.7,4,0,Friday
2023-04-03,28188.15,4124.51,132.41,18.55,4,0,Monday
2023-04-04,28287.42,4100.6,131.69,19.0,4,0,Tuesday
2023-04-05,27813.26,4090.38,131.31,19.08,4,0,Wednesday
2023-04-06,27472.63,4105.02,131.76,18.4,4,0,Thursday
2023-04-07,27518.31,,132.13,,2,2,Friday
2023-04-10,27633.66,4109.11,133.6,18.97,4,0,Monday
2023-04-11,27923.37,4108.94,133.65,19.1,4,0,Tuesday
2023-04-12,28082.7,4091.95,133.12,19.09,4,0,Wednesday
2023-04-13,28156.97,4146.22,132.56,17.8,4,0,Thursday
2023-04-14,28493.47,4137.64,133.77,17.07,4,0,Friday
2023-04-17,28514.78,4151.32,134.46,16.95,4,0,Monday
2023-04-18,28658.83,4154.87,134.09,16.83,4,0,Tuesday
2023-04-19,28606.76,4154.52,134.69,16.46,4,0,Wednesday
2023-04-20,28657.57,4129.79,134.23,17.17,4,0,Thursday
2023-04-21,28564.37,4133.52,134.15,16.77,4,0,Friday
2023-04-24,28593.52,4137.04,134.22,16.89,4,0,Monday
2023-04-25,28620.07,4071.63,133.71,18.76,4,0,Tuesday
2023-04-26,28416.47,4055.99,133.66,18.84,4,0,Wednesday
2023-04-27,28457.68,4135.35,133.94,17.03,4,0,Thursday
2023-04-28,28856.44,4169.48,136.28,15.78,4,0,Friday
2023-05-01,29123.18,4167.87,137.48,16.08,4,0,Monday
2023-05-02,29157.95,4119.58,136.53,17.78,4,0,Tuesday
2023-05-03,,4090.75,134.68,18.34,3,1,Wednesday
2023-05-04,,4061.22,134.27,20.09,3,1,Thursday
2023-05-05,,4136.25,134.83,17.19,3,1,Friday
2023-05-08,28949.88,4138.12,135.08,16.98,4,0,Monday
2023-05-09,29242.82,4119.17,135.21,17.71,4,0,Tuesday
2023-05-10,29122.18,4137.64,134.34,16.94,4,0,Wednesday
2023-05-11,29126.72,4130.62,134.54,16.93,4,0,Thursday
2023-05-12,29388.3,4124.08,135.71,17.03,4,0,Friday
2023-05-15,29626.34,4136.28,136.11,17.12,4,0,Monday
2023-05-16,29842.99,4109.9,136.37,17.99,4,0,Tuesday
