Date,NKY,SPX,USDJPY,VIX
2023-01-04,25834.93,3852.97,132.62,22.01
2023-01-05,25825.5,3808.1,133.4,22.46
2023-01-06,25740.08,3895.08,132.07,21.13
2023-01-10,26176.61,3919.25,132.25,20.58
2023-01-11,26362.21,3969.61,132.47,21.09
2023-01-12,26524.94,3983.17,129.22,18.83
2023-01-13,26391.78,3999.09,127.88,18.35
2023-01-17,25915.51,3990.97,128.13,19.36
2023-01-18,26251.34,3928.86,128.88,20.34
2023-01-19,26541.08,3898.85,128.42,20.52
2023-01-20,26346.69,3972.61,129.57,19.85
2023-01-23,26880.21,4019.81,130.66,19.81
2023-01-24,27150.43,4016.95,130.15,19.2
2023-01-25,27175.88,4016.22,129.59,19.08
2023-01-26,27444.64,4060.43,130.21,18.73
2023-01-27,27428.41,4070.56,129.85,18.51
2023-01-30,27384.77,4017.77,130.44,19.94
2023-01-31,27458.56,4076.6,130.09,19.4
2023-02-01,27483.41,4119.21,128.93,17.87
2023-02-02,27453.67,4179.76,128.65,18.73
2023-02-03,27455.03,4136.48,131.17,18.33
2023-02-06,27764.66,4111.08,132.65,19.43
2023-02-07,27744.9,4164.0,131.05,18.66
2023-02-08,27690.74,4117.86,131.37,19.63
2023-02-09,27453.4,4081.5,131.56,20.71
2023-02-10,27711.25,4090.46,131.41,20.53
2023-02-13,27550.35,4137.29,132.4,20.34
2023-02-14,27705.37,4136.13,133.11,18.91
2023-02-15,27686.01,4147.6,134.11,18.23
2023-02-16,27654.72,4090.41,133.94,20.17
2023-02-17,27484.6,4079.09,134.15,20.02
2023-02-21,27486.09,3997.34,134.99,22.87
2023-02-22,27265.99,3991.05,134.9,22.29
2023-02-24,27144.72,3970.04,136.46,21.67
2023-02-27,27322.73,3982.24,136.2,20.95
2023-02-28,27515.34,3970.15,136.2,20.7
2023-03-01,27363.57,3951.39,136.16,20.58
2023-03-02,27564.82,3981.35,136.76,19.59
2023-03-03,27683.26,4045.64,135.86,18.49
2023-03-06,28182.31,4048.42,135.91,18.61
2023-03-07,28202.59,3986.37,137.14,19.59
2023-03-08,28237.21,3992.01,137.34,19.11
2023-03-09,28648.11,3918.32,136.14,22.61
2023-03-10,28385.29,3861.59,134.98,24.8
2023-03-13,27886.21,3855.76,133.18,26.52
2023-03-14,27455.95,3919.29,134.22,23.73
2023-03-15,27421.66,3891.93,133.4,26.14
