Date,Open,High,Low,Close,Volume
04/01/2023,25834.93,25840.68,25661.89,25716.86,833297500
05/01/2023,25825.5,25947.1,25750.46,25820.8,723092500
06/01/2023,25740.08,26034.06,25719.61,25973.85,681532300
10/01/2023,26176.61,26316.66,26132.8,26175.56,712464100
11/01/2023,26362.21,26479.99,26332.05,26446,623583100
12/01/2023,26524.94,26547.61,26381.93,26449.82,770274500
13/01/2023,26391.78,26409.21,26090.84,26119.52,982974300
16/01/2023,25836.67,25938.04,25748.1,25822.32,716694700
17/01/2023,25915.51,26198.69,25895.3,26138.68,680690800
18/01/2023,26251.34,26816.68,26211.84,26791.12,933670800
19/01/2023,26541.08,26592.87,26368.97,26405.23,687234700
20/01/2023,26346.69,26553.53,26320.96,26553.53,604419000
23/01/2023,26880.21,26938.28,26788.76,26906.04,601862000
24/01/2023,27150.43,27381,27150.43,27299.19,707666600
25/01/2023,27175.88,27473.9,27175.88,27395.01,633607100
26/01/2023,27444.64,27502.15,27284.08,27362.75,632731400
27/01/2023,27428.41,27452.67,27326.91,27382.56,715002600
30/01/2023,27384.77,27486.42,27337.25,27433.4,657639800
31/01/2023,27458.56,27494.17,27302.22,27327.11,745973100
01/02/2023,27483.41,27547.67,27322.79,27346.88,658488100
02/02/2023,27453.67,27472.44,27338.43,27402.05,732462700
03/02/2023,27455.03,27612.57,27445.69,27509.46,927984800
06/02/2023,27764.66,27821.22,27656.47,27693.65,884287000
07/02/2023,27744.9,27814.96,27662.11,27685.47,742623700
08/02/2023,27690.74,27719.45,27458.53,27606.46,689676400
09/02/2023,27453.4,27635.38,27424.69,27584.35,616892100
10/02/2023,27711.25,27814.02,27609.33,27670.98,888227100
13/02/2023,27550.35,27570.32,27266.94,27427.32,704415700
14/02/2023,27705.37,27721.82,27553.18,27602.77,558171400
15/02/2023,27686.01,27720.27,27444.13,27501.86,721036000
16/02/2023,27654.72,27727.66,27597.12,27696.44,681188600
17/02/2023,27484.6,27608.59,27466.61,27513.13,687914700
20/02/2023,27497.13,27531.94,27426.48,27531.94,624719300
21/02/2023,27486.09,27538.29,27359.12,27473.1,616281500
22/02/2023,27265.99,27300.53,27046.08,27104.32,747113800
24/02/2023,27144.72,27465.9,27128.32,27453.48,759907200
27/02/2023,27322.73,27456.22,27292.74,27423.96,593990000
28/02/2023,27515.34,27585.17,27400.36,27445.56,862860800
01/03/2023,27363.57,27530.76,27305.37,27516.53,697910700
02/03/2023,27564.82,27617.8,27408.54,27498.87,692864800
03/03/2023,27683.26,27961.21,27655.34,27927.47,782019900
06/03/2023,28182.31,28288.62,28153.82,28237.78,657288500
07/03/2023,28202.59,28398.27,28202.59,28309.16,697953100
08/03/2023,28237.21,28469.41,28232.68,28444.19,672152600
09/03/2023,28648.11,28734.79,28558.88,28623.15,723039900
10/03/2023,28385.29,28424.24,28118.74,28143.97,1112609700
13/03/2023,27886.21,27906.97,27631.53,27832.96,960567200
14/03/2023,27455.95,27455.95,27104.75,27222.04,1257058100
15/03/2023,27421.66,27424.94,27105.99,27229.48,866160600
16/03/2023,26796.67,27057.54,26632.92,27010.61,1071079800
17/03/2023,27232.23,27356.15,27071.71,27333.79,1014837300
20/03/2023,27253.73,27367.18,26945.67,26945.67,791909100
22/03/2023,27298.15,27520.97,27267.26,27466.61,780719800
23/03/2023,27232.97,27461.97,27175.63,27419.61,641296100
24/03/2023,27368.62,27397.29,27257.44,27385.25,595478200
27/03/2023,27482.39,27543.48,27359.72,27476.87,573975700
28/03/2023,27573.82,27603.45,27432.76,27518.25,663559800
29/03/2023,27549.37,27897.72,27505.48,27883.78,838235700
30/03/2023,27827.89,27876.38,27630.55,27782.93,820317100
31/03/2023,28009.22,28124.62,27986.62,28041.48,911488900
03/04/2023,28203.35,28258.91,28120.71,28188.15,750399000
04/04/2023,28213.93,28287.42,28139.12,28287.42,732692400
05/04/2023,28111.04,28133.57,27788.77,27813.26,743257400
06/04/2023,27589.14,27609.86,27427.66,27472.63,732029700
07/04/2023,27554.37,27591.15,27456.25,27518.31,491041200
10/04/2023,27658.52,27737.49,27597.18,27633.66,480314800
11/04/2023,27895.9,28068.39,27854.82,27923.37,648420000
12/04/2023,27985.93,28121.46,27983.97,28082.7,626839100
13/04/2023,27952.58,28163.87,27952.01,28156.97,598585200
14/04/2023,28321.54,28515.51,28282.82,28493.47,728949300
17/04/2023,28537.99,28599.75,28414.98,28514.78,580060300
18/04/2023,28567.54,28698.22,28520.76,28658.83,622725700
19/04/2023,28619.84,28677.22,28531.54,28606.76,580247000
20/04/2023,28472,28694.25,28442.45,28657.57,567419400
21/04/2023,28590.55,28778.37,28527.8,28564.37,613661800
24/04/2023,28631.78,28680.65,28567.24,28593.52,499527100
25/04/2023,28697.73,28806.69,28609.77,28620.07,593275400
26/04/2023,28478.52,28551.61,28319.77,28416.47,687055400
27/04/2023,28340.59,28459.73,28241.67,28457.68,735564600
28/04/2023,28705.91,28879.24,28499.51,28856.44,1039590900
01/05/2023,29058.05,29145.89,29016.83,29123.18,733682100
02/05/2023,29278.8,29278.8,29083.13,29157.95,639102200
08/05/2023,29095.46,29144.12,28931.81,28949.88,741494000
09/05/2023,29020.63,29262.36,29020.63,29242.82,863914600
10/05/2023,29189.41,29195.16,29070.11,29122.18,872759400
11/05/2023,29110.79,29165.59,29028.71,29126.72,822074300
12/05/2023,29199.3,29426.06,29141.52,29388.3,1060843600
15/05/2023,29547.04,29629.47,29475.97,29626.34,885873500
16/05/2023,29838.01,29916.56,29779.07,29842.99,1073921100
17/05/2023,29912.44,30115.32,29912.44,30093.59,930835700
18/05/2023,30432.54,30667.13,30381.9,30573.93,904857100
19/05/2023,30847.36,30924.57,30679.16,30808.35,805277100
22/05/2023,30735.71,31086.82,30689.27,31086.82,753937300
23/05/2023,31245.72,31352.53,30828.73,30957.77,921619800
24/05/2023,30728.69,30856.92,30566.83,30682.68,817090300
25/05/2023,30599.27,30889.98,30558.14,30801.13,839875400
26/05/2023,30909.61,31101.6,30864.49,30916.31,783488100
29/05/2023,31388.01,31560.43,31164,31233.54,783278700
30/05/2023,31196.24,31374.83,31064.19,31328.16,718453100
31/05/2023,31057.09,31142.78,30785.98,30887.88,1845848500
01/06/2023,30886.01,31185.05,30853.44,31148.01,950903500
02/06/2023,31300.72,31555.54,31257.01,31524.22,906562000
05/06/2023,31864.12,32217.43,31798.72,32217.43,988367900
06/06/2023,31988.37,32534.47,31933.87,32506.78,824786900
07/06/2023,32618.78,32708.53,31913.74,31913.74,1119412300
08/06/2023,31877.79,32035.95,31420.45,31641.27,860403600
09/06/2023,31927.38,32304.04,31898.75,32265.17,1015282600
12/06/2023,32412.12,32517.68,32280.54,32434,687045400
13/06/2023,32668.95,33127.36,32638.21,33018.65,894530100
14/06/2023,33331.47,33665.52,33203.95,33502.42,1115542000
15/06/2023,33493.69,33767.13,33386.01,33485.49,1058175100
16/06/2023,33399.15,33772.76,33186.93,33706.08,1320441300
19/06/2023,33768.69,33772.89,33231.56,33370.42,829084900
20/06/2023,33269.57,33474.74,33089.02,33388.91,824130300
21/06/2023,33200.63,33657.87,33154.68,33575.14,820003300
22/06/2023,33438.01,33641.46,33232.19,33264.88,946653500
23/06/2023,33458.35,33533.47,32575.56,32781.54,1036405600
26/06/2023,32647.08,32884.73,32392.72,32698.81,740739200
27/06/2023,32629.96,32689.1,32306.99,32538.33,795823600
28/06/2023,32807.84,33193.99,32642.87,33193.99,911142900
29/06/2023,33306.84,33527.98,33185.2,33234.14,1178914900
30/06/2023,33068.36,33232.89,32918.77,33189.04,1112581300
03/07/2023,33517.6,33762.81,33510.55,33753.33,953903000
04/07/2023,33512.26,33576.45,33338.78,33422.52,993713500
05/07/2023,33165.06,33389.22,33041.14,33338.7,951326200
06/07/2023,33058.4,33079.45,32637.72,32773.02,1005548700
07/07/2023,32450.64,32730.25,32327.9,32388.42,1050562700
10/07/2023,32393.46,32558.98,32065.63,32189.73,1011654000
11/07/2023,32434.67,32468.7,32084.42,32203.57,871600800
12/07/2023,32280.05,32312.03,31791.71,31943.93,883889600
13/07/2023,32106.05,32484.4,31952.98,32419.33,777770800
14/07/2023,32587.9,32780.63,32225.37,32391.26,902827600
18/07/2023,32457.18,32714.59,32338.3,32493.89,811117700
19/07/2023,32812.36,32896.03,32671.03,32896.03,818995400
20/07/2023,32803.35,32861.02,32462.86,32490.52,755997000
21/07/2023,32336.86,32462.44,32080.95,32304.25,793858600
24/07/2023,32648.14,32793.77,32554.46,32700.94,834980300
25/07/2023,32705.39,32715.56,32509.94,32682.51,1010268700
26/07/2023,32704.96,32724.25,32488.52,32668.34,851682700
27/07/2023,32523.69,32938.59,32503.69,32891.16,909018400
28/07/2023,32444.42,32846.97,32037.55,32759.23,1705002700
31/07/2023,33128.83,33402.08,33025.93,33172.22,1342940800
01/08/2023,33292.31,33488.77,33203.88,33476.58,1107576100
02/08/2023,33123.12,33158.58,32628.29,32707.69,1242018500
03/08/2023,32375.85,32467.06,32142.25,32159.28,1203403900
04/08/2023,32019.06,32294.7,31934.35,32192.75,1066209600
07/08/2023,31921.28,32306.87,31830.23,32254.56,941083100
08/08/2023,32430.61,32539.88,32238.59,32377.29,917844900
09/08/2023,32346.32,32407.85,32175.64,32204.33,1044872700
10/08/2023,32015.96,32504.85,32015.96,32473.65,1079986300
14/08/2023,32456.72,32613.99,32031.54,32059.91,955585500
15/08/2023,32372.53,32403.93,32217.52,32238.89,751178300
16/08/2023,31965.58,31997.28,31766.82,31766.82,848351100
17/08/2023,31621.98,31704.08,31309.68,31626,877123600
18/08/2023,31321.26,31644.89,31275.25,31450.76,748078600
21/08/2023,31552.85,31758.7,31409.86,31565.64,695107500
22/08/2023,31792.6,31906.1,31693.76,31856.71,701804200
23/08/2023,31717.91,32039.6,31717.91,32010.26,650504100
24/08/2023,32130.52,32297.91,32063.14,32287.21,733959100
25/08/2023,31840.91,31885.53,31572.06,31624.28,656795200
28/08/2023,31915.68,32205.48,31881.93,32169.99,699218000
29/08/2023,32280.57,32389.12,32186.57,32226.97,774842000
30/08/2023,32432.95,32557.45,32300.56,32333.46,891067500
31/08/2023,32361.02,32692.76,32359.15,32619.34,1146024000
01/09/2023,32521.15,32845.46,32499.44,32710.62,884327400
04/09/2023,32797.32,32939.18,32714.94,32939.18,895594600
05/09/2023,32941.41,33036.76,32784.32,33036.76,913445000
06/09/2023,33115.06,33282.15,33088.22,33241.02,941904600
07/09/2023,33118.55,33322.45,32986.35,32991.08,1001681100
08/09/2023,32916.25,32920.43,32512.8,32606.84,1140516800
11/09/2023,32690.54,32746.14,32391.69,32467.76,842193300
12/09/2023,32629.16,32799.69,32486.48,32776.37,939801600
13/09/2023,32742.29,32872.44,32616.65,32706.52,981452600
14/09/2023,32925.54,33244.45,32851.24,33168.1,1121042100
15/09/2023,33428.44,33634.31,33391.46,33533.09,1665830900
19/09/2023,33296.23,33337.23,33128.86,33242.59,1171595900
20/09/2023,33261.35,33267.14,32988.65,33023.78,1134617600
21/09/2023,32865.56,32939.89,32550.65,32571.03,1078851000
22/09/2023,32189.32,32535.67,32154.53,32402.41,1097926500
25/09/2023,32517.26,32722.22,32388.28,32678.62,821085400
26/09/2023,32640.05,32643.41,32315.05,32315.05,864558400
27/09/2023,32023.37,32371.9,31960.32,32371.9,1055881300
28/09/2023,32119.37,32164.45,31674.42,31872.52,1159057200
29/09/2023,32018.64,32027.46,31717.74,31857.62,1320335900
